"Invoice_Date","Due_Date","Account_Name","Reference","Invoice_No","Amount","Amount_Paid","Balance","Accrued","Accrued_From_Date","Accrued_To_Date","Authorised_Status"
"31/05/2017","07/06/17","Al Tawafuq","Cleaning Service - May 2017","0291","2700.00","2700.00","","YES","01/05/17","31/05/17","NO"
"31/05/2017","31/07/17","Blue Diamond FM Services LLC","MEP & Minor Civil Maintenance - May 2017","BDFM-1224/05","1108.33","1108.33","","YES","01/05/17","31/05/17","NO"
"31/05/2017","15/06/17","Kaizen Owner Association Management Services","May 2017 Owner Association Management Service","0090","5099.30","5099.30","","YES","01/05/17","31/05/17","NO"
"31/05/2017","31/05/17","DEWA","2026667420","May-17","8928.62","8928.62","","NO","31/05/17","31/05/17","NO"
"31/05/2017","31/05/17","Mashreq gold","Inv: May 2017 Bank Charges","May 2017 Charges","65.00","65.00","","NO","31/05/17","31/05/17","NO"
"01/06/2017","01/07/17","Mystrata Middle East FZ-LLC","License Fee -15 JUNE 2017 to 14 SEPT 2017","ME/17/1891","1675.00","1675.00","","YES","15/06/17","14/09/17","NO"
"10/06/2017","10/06/17","Crowe Horwath","Independent Signatory Services - May 2017","000737","1140.00","1140.00","","YES","01/05/17","31/05/17","NO"
"10/06/2017","10/06/17","Crowe Horwath","Independent Signatory Service - June 2017","000761","1140.00","1140.00","","YES","01/06/17","30/06/17","NO"
"11/06/2017","11/06/17","Alnahrain Security & Safety","Inv: NH/AMC/0149/17 AMC for fire system 1st pmnt","NH/AMC/0149","5500.00","5500.00","","YES","01/05/17","31/10/17","NO"
"19/06/2017","19/06/17","Technical Safety Consultants","Inspection of Elevators","02031700125","500.00","500.00","","NO","19/06/17","19/06/17","NO"
"29/06/2017","29/06/17","Crowe Horwath","Independent Signatory Service - July 2017","000890","1140.00","1140.00","","YES","01/07/17","31/07/17","NO"
"30/06/2017","07/07/17","Al Tawafuq","Cleaning Service - June 2017","0303","2700.00","2700.00","","YES","01/06/17","30/06/17","NO"
"30/06/2017","07/07/17","911 Security Services LLC","Security Service - June 2017","3196","8160.00","8160.00","","YES","01/06/17","30/06/17","NO"
"30/06/2017","30/06/17","Mashreq gold","Inv: June 2017 Bank Charges","June 2017 Charges","715.00","715.00","","NO","30/06/17","30/06/17","NO"
"30/06/2017","30/08/17","Blue Diamond FM Services LLC","MEP & Civil Maintenance - June 2017","BDFM-1259/06","1108.33","1108.33","","YES","01/06/17","30/06/17","NO"
"30/06/2017","30/06/17","DEWA","2026667420","June - 2017","15468.03","15468.03","","YES","01/06/17","30/06/17","NO"
"30/06/2017","15/07/17","Kaizen Owner Association Management Services","JUNE 2017 - OA MANAGEMENT SERVICE","135","5099.30","5099.30","","YES","01/06/17","30/06/17","NO"
"01/07/2017","01/07/17","Regional Building Cleaning & Pest Control Servi","Pest Control Service Contract  25-04-17 to 24-04-1","56491 - 53","425.00","425.00","","YES","25/04/17","24/04/18","NO"
"23/07/2017","23/07/17","Imdaad LLC","Waste Management service - June-2017","706519","180.00","180.00","","NO","23/07/17","23/07/17","NO"
"26/07/2017","26/07/17","Realpoint Real Estate Consultancy LLC","Job No:707 - RERA Building Completion Technical Au","0935","1500.00","1500.00","","NO","26/07/17","26/07/17","NO"
"30/07/2017","30/07/17","Mashreq gold","July 2017 - Bank Charges","July 2017","385.00","385.00","","NO","30/07/17","30/07/17","NO"
"31/07/2017","07/08/17","Al Tawafuq","Cleaning Service - July 2017","0314","2700.00","2700.00","","YES","01/07/17","31/07/17","NO"
"31/07/2017","07/08/17","911 Security Services LLC","Security Service - July 2017","3249","8160.00","8160.00","","YES","01/07/17","31/07/17","NO"
"31/07/2017","31/07/17","DEWA","2026667420","July - 2017","13232.12","13232.12","","YES","01/07/17","31/07/17","NO"
"31/07/2017","31/07/17","Crowe Horwath","AUG 2017 - Independent Signatory Service","001099","1140.00","1140.00","","YES","01/08/17","31/08/17","NO"
"31/07/2017","31/07/17","Kaizen Owner Association Management Services","JULY 2017 - OA Management Service","0170","5099.30","5099.30","","YES","01/07/17","31/07/17","NO"
"31/07/2017","15/09/17","Blue Diamond FM Services LLC","JULY 17 -MEP AND MINOR CIVIL MAINTENANCE","BDFM-1298/07","1108.33","1108.33","","YES","01/07/17","31/07/17","NO"
"07/08/2017","07/08/17","Imdaad LLC","Waste Management Services - May 2017","707916","135.00","135.00","","NO","07/08/17","07/08/17","NO"
"08/08/2017","08/08/17","Imdaad LLC","Waste Management Services - April 2017","708037","135.00","135.00","","NO","08/08/17","08/08/17","NO"
"08/08/2017","08/08/17","Imdaad LLC","Waste Management Services - Dec 2016","708038","30.00","30.00","","NO","08/08/17","08/08/17","NO"
"08/08/2017","08/08/17","Imdaad LLC","Waste Management Services - Feb 2017","708039","60.00","60.00","","NO","08/08/17","08/08/17","NO"
"08/08/2017","08/08/17","Imdaad LLC","Waste Management Services - Jan 2017","708040","150.00","150.00","","NO","08/08/17","08/08/17","NO"
"08/08/2017","08/08/17","Imdaad LLC","Waste Management Services - March 2017","708041","150.00","150.00","","NO","08/08/17","08/08/17","NO"
"15/08/2017","15/08/17","Imdaad LLC","Waste Management Services - July 2017","708592","225.00","225.00","","NO","15/08/17","15/08/17","NO"
"30/08/2017","30/08/17","DEWA","2026667420","Aug-17","13141.28","13141.28","","YES","01/08/17","31/08/17","NO"
"30/08/2017","30/08/17","Mashreq gold","Aug 17 - Bank Charges","Aug 17 - Bank Charge","330.00","330.00","","NO","30/08/17","30/08/17","NO"
"31/08/2017","31/08/17","Crowe Horwath","SEP 2017 - Independent Signatory Service","001281","1140.00","1140.00","","YES","01/09/17","30/09/17","NO"
"31/08/2017","31/08/17","Kaizen Owner Association Management Services","AUG 2017 - OA Management Service","0171","5099.30","5099.30","","YES","01/08/17","31/08/17","NO"
"31/08/2017","31/08/17","DEWA","2026667420","August 2017","17649.17","17649.17","","YES","01/08/17","31/08/17","NO"
"31/08/2017","31/08/17","Al Tawafuq","Aug 2017 - Cleaning Service","Aug-17","2700.00","2700.00","","YES","01/08/17","31/08/17","NO"
"31/08/2017","31/08/17","911 Security Services LLC","Aug 2017 - Security Service","3300","8160.00","8160.00","","YES","01/08/17","31/08/17","NO"
"31/08/2017","30/10/17","Blue Diamond FM Services LLC","AUG 17 -MEP AND MINOR CIVIL MAINTENANCE","BDFM-1371/08","1108.33","1108.33","","YES","01/08/17","31/08/17","NO"
"01/09/2017","01/10/17","Mystrata Middle East FZ-LLC","Mystrata Lisence Fee -  15/9/2017 - 14/12/2017","ME/17/2238","1675.00","1675.00","","YES","15/09/17","14/12/17","NO"
"05/09/2017","05/09/17","Regional Building Cleaning & Pest Control Servi","Pest Control Service Contract  25-04-17 to 24-04-1","56824","425.00","425.00","","YES","25/04/17","24/04/18","NO"
"14/09/2017","14/09/17","Imdaad LLC","Waste Management Services - AUG-17","710949","195.00","195.00","","NO","14/09/17","14/09/17","NO"
"28/09/2017","28/09/17","Crowe Horwath","Oct 2017 - Independent Signatory Service","001458","1140.00","1140.00","","YES","01/10/17","31/10/17","NO"
"30/09/2017","30/09/17","DEWA","2026667420","SEP 2017","16663.30","16663.30","","YES","01/09/17","30/09/17","NO"
"30/09/2017","30/09/17","Kaizen Owner Association Management Services","SEP 2017 - OA Management Service","0234","5099.30","5099.30","","YES","01/09/17","30/09/17","NO"
"30/09/2017","30/09/17","Al Tawafuq","SEP 2017 - Cleaning Service","338","2700.00","2700.00","","YES","01/09/17","30/09/17","NO"
"30/09/2017","30/09/17","911 Security Services LLC","SEP 2017 - Security Service","3348","8160.00","8160.00","","YES","01/09/17","30/09/17","NO"
"30/09/2017","15/11/17","Blue Diamond FM Services LLC","SEP-17 - MEP AND MINOR CIVIL MAINTENANCE","BDFM-1440/09","1108.33","1108.33","","YES","01/09/17","30/09/17","NO"
"30/09/2017","30/10/17","Stalwart Solutions LLC","AMC-Pest Control Ist","SS/8236","316.67","316.67","","NO","30/10/17","30/10/17","NO"
"30/09/2017","30/09/17","Mashreq gold","Inv: Sept2017 Bank Charge","Sept2017 Bank Charge","145.00","145.00","","NO","30/09/17","30/09/17","NO"
"05/10/2017","05/10/17","Imdaad LLC","Waste Management Services - September  2017","712202","210.00","210.00","","YES","01/09/17","30/09/17","NO"
"23/10/2017","23/10/17","Mashreq gold","Inv: Oct 2017 Bank Charge","Oct 2017 Bank Charge","125.00","125.00","","NO","23/10/17","23/10/17","NO"
"31/10/2017","15/12/17","Blue Diamond FM Services LLC","OCT-17 - MEP AND MINOR CIVIL MAINTENANCE","BDFM-1505/10","1108.33","1108.33","","YES","01/10/17","31/10/17","NO"
"31/10/2017","31/10/17","DEWA","DEWA Account No: 2026667420","Oct-17","11023.24","11023.24","","YES","01/10/17","31/10/17","NO"
"31/10/2017","31/10/17","Al Tawafuq","OCT 2017 - Cleaning Service","0348","2700.00","2700.00","","YES","01/10/17","31/10/17","NO"
"31/10/2017","31/10/17","911 Security Services LLC","OCT 2017 - Security Service","3395","8160.00","8160.00","","YES","01/10/17","31/10/17","NO"
"31/10/2017","15/11/17","Kaizen Owner Association Management Services","OCT 2017 - OA Management Service","283","5099.30","5099.30","","YES","01/10/17","31/10/17","NO"
"09/11/2017","09/11/17","Crowe Horwath","Nov 2017 - Independent Signatory Service","001684","1140.00","1140.00","","YES","01/11/17","30/11/17","NO"
"26/11/2017","26/11/17","Imdaad LLC","Waste Management Services - October 2017","717738","195.00","195.00","","YES","01/10/17","31/10/17","NO"
"28/11/2017","28/11/17","Mashreq gold","Inv: Nov 2017 Bank Charge","Nov 2017 Bank Charge","75.00","75.00","","NO","28/11/17","28/11/17","NO"
"29/11/2017","29/11/17","Sky Star Satellite Fixing","Additional remote receiver","1424/11/2017","350.00","350.00","","NO","29/11/17","29/11/17","NO"
"29/11/2017","29/11/17","Crowe Horwath","Dec 2017 - Independent Signatory Service","1802","1140.00","1140.00","","YES","01/12/17","31/12/17","NO"
"30/11/2017","30/11/17","Al Tawafuq","NOV 2017 - Cleaning Service","0358","2700.00","2700.00","","YES","01/11/17","30/11/17","NO"
"30/11/2017","30/11/17","911 Security Services LLC","NOV 2017 - Security Service","3460","8160.00","8160.00","","YES","01/11/17","30/11/17","NO"
"30/11/2017","30/11/17","DEWA","DEWA Account No: 2026667420","NOV 2017","8747.01","8747.01","","YES","01/11/17","30/11/17","NO"
"30/11/2017","14/01/18","Blue Diamond FM Services LLC","NOV-17 - MEP AND MINOR CIVIL MAINTENANCE","BDFM-1574/11","1108.33","1108.33","","YES","01/11/17","30/11/17","NO"
"30/11/2017","15/12/17","Kaizen Owner Association Management Services","NOV 2017 - OA Management Service","343","5099.30","5099.30","","YES","01/11/17","30/11/17","NO"
"30/11/2017","31/12/17","Stalwart Solutions LLC","AMC-Pest Control IInd","SS/8436","316.67","316.67","","NO","31/12/17","31/12/17","NO"
"01/12/2017","31/12/17","Mystrata Middle East FZ-LLC","License Fee 15/12/2017 - 14/3/2018","100306","1675.00","1675.00","","YES","15/12/17","14/03/18","NO"
"17/12/2017","17/12/17","Sky Star Satellite Fixing","Repair damaged arm of exit barrier installed","1441/02/2018","400.00","400.00","","NO","17/12/17","17/12/17","NO"
"18/12/2017","18/12/17","Spaceway Satellite Systems LLC","Nov Dec Jan AMC - SmartTV","0290","450.00","450.00","","YES","01/11/17","31/01/18","NO"
"23/12/2017","23/12/17","Imdaad LLC","Waste Management Services - November 2017","719976","180.00","180.00","","YES","01/11/17","30/11/17","NO"
"28/12/2017","28/12/17","Culligan International Emirates LLC","Tank Cleaning - 1st Time Sep-17 to Aug-18","17202339-16","2340.00","2340.00","","YES","01/09/17","28/02/18","NO"
"30/12/2017","15/01/18","Kaizen Owner Association Management Services","DEC 2017 - OA Management Service","361","5099.30","5099.30","","YES","01/12/17","31/12/17","NO"
"31/12/2017","31/12/17","Al Tawafuq","DEC 2017 - Cleaning Service","368","2700.00","2700.00","","YES","01/12/17","31/12/17","NO"
"31/12/2017","31/12/17","911 Security Services LLC","DEC 2017 - Security Service","3531","8160.00","8160.00","","YES","01/12/17","31/12/17","NO"
"31/12/2017","15/02/18","Blue Diamond FM Services LLC","DEC-17 - MEP AND MINOR CIVIL MAINTENANCE","BDFM-1644/12","1108.33","1108.33","","YES","01/12/17","31/12/17","NO"
"31/12/2017","31/12/17","DEWA","DEWA Account No: 2026667420","Dec 2017","6336.58","6336.58","","YES","01/12/17","31/12/17","NO"
"31/12/2017","31/12/17","Technical Safety Consultants","Elevator Inspection & Testing Attestation","02031700326-53","400.00","400.00","","NO","31/12/17","31/12/17","NO"
"01/01/2018","01/01/18","Liwan Master Community","2017Master Community Charge","414564/414565","159418.38","","159418.38","NO","01/01/18","01/01/18","NO"
"17/01/2018","17/01/18","Imdaad LLC","Waste Management Services - December 2017","722413","240.00","240.00","","YES","01/12/17","31/12/17","NO"
"21/01/2018","21/01/18","Crowe Horwath","Jan 2018 - Independent Signatory Service","IHO000041","1197.00","1197.00","","YES","01/01/18","31/01/18","NO"
"28/01/2018","28/01/18","KONE MIDDLE EAST LLC","Maintenance Contract 14.11.2017 - 31.12.2017","25569812","1621.50","1621.50","","YES","14/11/17","31/12/17","NO"
"31/01/2018","31/01/18","Al Tawafuq","JAN 2018 - Cleaning Service","378","2835.00","2835.00","","YES","01/01/18","31/01/18","NO"
"31/01/2018","31/01/18","911 Security Services LLC","JAN 2018 - Security Service","3598","8568.00","8568.00","","YES","01/01/18","31/01/18","NO"
"31/01/2018","31/01/18","DEWA","DEWA Account No: 2026667420","January 2018","6649.63","6649.63","","YES","01/01/18","31/01/18","NO"
"31/01/2018","28/02/18","Stalwart Solutions LLC","AMC-Pest Control IIIrd","SS/8754","332.50","332.50","","NO","31/01/18","31/01/18","NO"
"31/01/2018","17/03/18","Blue Diamond FM Services LLC","JAN-18 -MEP AND MINOR CIVIL MAINTENANCE","BDFM-1724/01","1163.75","1163.75","","YES","01/01/18","31/01/18","NO"
"31/01/2018","28/02/18","Kaizen Owner Association Management Services","JAN 2018 - OA Management Service","420","5354.17","5354.17","","YES","01/01/18","31/01/18","NO"
"31/01/2018","31/01/18","Mashreq gold","Inv: Jan 2018 Bank Charge","Jan 2018 Bank Charge","78.75","78.75","","NO","31/01/18","31/01/18","NO"
"17/02/2018","17/02/18","Imdaad LLC","Waste Management Services - Jan 2018","723988","220.50","220.50","","YES","01/01/18","31/01/18","NO"
"18/02/2018","18/02/18","Spaceway Satellite Systems LLC","AMC Smart TV Feb 2018-April2018","1025","472.50","472.50","","YES","01/02/18","30/04/18","NO"
"24/02/2018","24/02/18","Crowe Horwath","Feb 2018 - Independent Signatory Service","IHO000216","1197.00","1197.00","","YES","01/02/18","28/02/18","NO"
"25/02/2018","25/02/18","Sky Star Satellite Fixing","Repair Exit gate barrier","1531/02/2018","250.01","250.01","","NO","25/02/18","25/02/18","NO"
"28/02/2018","28/02/18","Al Tawafuq","FEB 2018 - Cleaning Service","0388","2835.00","2835.00","","YES","01/02/18","28/02/18","NO"
"28/02/2018","28/02/18","911 Security Services LLC","FEB 2018 - Security Service","3667","8568.00","8568.00","","YES","01/02/18","28/02/18","NO"
"28/02/2018","14/04/18","Blue Diamond FM Services LLC","FEB-18 -MEP AND MINOR CIVIL MAINTENANCE","BDFM-1817/02","1163.75","1163.75","","YES","01/02/18","28/02/18","NO"
"28/02/2018","28/02/18","DEWA","DEWA Account No: 2026667420","18-Feb","5886.37","5886.37","","YES","01/02/18","28/02/18","NO"
"28/02/2018","29/03/18","Kaizen Owner Association Management Services","FEB 2018 - OA Management Service","445","5354.17","5354.17","","YES","01/02/18","28/02/18","NO"
"28/02/2018","28/02/18","Mashreq gold","Inv: Feb 2018 bank charge","Feb 2018 bank charge","131.25","131.25","","NO","28/02/18","28/02/18","NO"
"21/03/2018","21/03/18","Sky Star Satellite Fixing","Remote & Receiver","1583/03/2018","1543.50","1543.50","","NO","21/03/18","21/03/18","NO"
"22/03/2018","22/03/18","Crowe Horwath","Mar 2018 - Independent Signatory Service","IHO000392","1197.00","1197.00","","YES","01/03/18","31/03/18","NO"
"22/03/2018","22/03/18","Imdaad LLC","Waste Management Services - Feb 2018","725672","173.25","173.25","","YES","01/02/18","28/02/18","NO"
"25/03/2018","25/03/18","Stalwart Solutions LLC","Water Tank & Pipeline disinfection","SS/8973","1260.00","1260.00","","NO","25/03/18","25/03/18","NO"
"29/03/2018","29/03/18","KONE MIDDLE EAST LLC","Lift Maintenance 1/1/18-31/3/18","25572566","3255.00","3255.00","","YES","01/01/18","31/03/18","NO"
"31/03/2018","30/04/18","Kaizen Owner Association Management Services","MAR 2018 - OA Management Service","478","5354.17","5354.17","","YES","01/03/18","31/03/18","NO"
"31/03/2018","31/03/18","Al Tawafuq","MAR 2018 - Cleaning Service","398","2835.00","2835.00","","YES","01/03/18","31/03/18","NO"
"31/03/2018","31/03/18","911 Security Services LLC","MAR 2018 - Security Service","3736","8568.00","8568.00","","YES","01/03/18","31/03/18","NO"
"31/03/2018","31/03/18","DEWA","DEWA Account No: 2026667420","18-Mar","7625.04","7625.04","","YES","01/03/18","31/03/18","NO"
"31/03/2018","15/05/18","Blue Diamond FM Services LLC","MAR-18 - MEP AND MINOR CIVIL MAINTENANCE","BDFM-1901/03","1163.75","1163.75","","YES","01/03/18","31/03/18","NO"
"31/03/2018","31/03/18","Stalwart Solutions LLC","Pest Control - 4th Service","SS/9029","332.50","332.50","","NO","31/03/18","31/03/18","NO"
"31/03/2018","31/03/18","Mashreq gold","Inv: Mar 2018 bank Charge","Mar 2018 bank Charge","283.50","283.50","","NO","31/03/18","31/03/18","NO"
"28/04/2018","28/04/18","Crowe Horwath","Apr 2018- Independent Signatory Service","IHO000722","1197.00","1197.00","","YES","01/04/18","30/04/18","NO"
"28/04/2018","28/04/18","Mashreq gold","Inv: Apr 2018 Bank Charge","Apr 2018 Bank Charge","262.50","262.50","","NO","28/04/18","28/04/18","NO"
"30/04/2018","30/04/18","Al Tawafuq","APR 2018 - Cleaning Service","409","2835.00","2835.00","","YES","01/04/18","30/04/18","NO"
"30/04/2018","30/04/18","911 Security Services LLC","APR 2018 - Security Service","3808","8568.00","8568.00","","YES","01/04/18","30/04/18","NO"
"30/04/2018","30/04/18","DEWA","DEWA Account No: 2026667420","18-Apr","9903.67","9903.67","","YES","01/04/18","30/04/18","NO"
"30/04/2018","14/06/18","Blue Diamond FM Services LLC","APR-18 - MEP AND MINOR CIVIL MAINTENANCE","BDFM-1966/04","1163.75","1163.75","","YES","01/04/18","30/04/18","NO"
"30/04/2018","30/05/18","Kaizen Owner Association Management Services","APR 2018 - OA Management Service","516","5354.17","5354.17","","YES","01/04/18","30/04/18","NO"
"30/04/2018","30/05/18","Dubai Civil Defence","Direct Alarm - Annual fee 2018","10358817-2018","2541.00","2541.00","","YES","01/01/18","31/12/18","NO"
"30/04/2018","30/04/18","Gargash Insurance","Property all risk 23/2/18-22/2/19","DN1/46497/201","8357.58","8357.58","","YES","23/02/18","22/02/19","NO"
"30/04/2018","30/04/18","Federal Tax Authority","VAT PAYABLE TO FTA 01.01.2018 - 30.04.2018","VAT 1 2018","7095.58","7095.58","","NO","30/04/18","30/04/18","NO"
"30/04/2018","30/04/18","Kaizen Owner Association Management Services","DCD Service charge paid by cash","10358817 DCD","52.50","","52.50","YES","01/01/18","31/12/18","NO"
"12/05/2018","12/05/18","Crowe Horwath","May 2018 - Independent Signatory Service","IHO000868","1197.00","1197.00","","YES","01/05/18","31/05/18","NO"
"12/05/2018","12/05/18","Spaceway Satellite Systems LLC","AMC Smart TV May 2018- Jul 2018","1063","472.50","472.50","","YES","01/05/18","31/07/18","NO"
"14/05/2018","13/06/18","Mystrata Middle East FZ-LLC","License Fee 14/5/18 - 13/8/18","101702","1758.75","1758.75","","YES","14/05/18","13/08/18","NO"
"16/05/2018","16/05/18","Alnahrain Security & Safety","50% Adv - AMC Fire protection system","AMC/0149/17-D","3675.00","3675.00","","YES","01/05/18","30/04/19","NO"
"29/05/2018","29/05/18","SPA AUDITING","VAT Filing 01/01/18-01/04/18","TR-102","630.00","630.00","","YES","01/01/18","30/04/18","NO"
"30/05/2018","30/05/18","Gargash Insurance","Public Liability 23/2/18-22/2/19","DN1/60625/201","1055.25","1055.25","","YES","23/02/18","22/02/19","NO"
"30/05/2018","30/06/18","Kaizen Owner Association Management Services","MAY 2018 - OA Management Service","554","5354.17","5354.17","","YES","01/05/18","31/05/18","NO"
"31/05/2018","31/05/18","Al Tawafuq","MAY 2018 - Cleaning Service","420","2835.00","2835.00","","YES","01/05/18","31/05/18","NO"
"31/05/2018","31/05/18","911 Security Services LLC","MAY 2018 - Security Service","3882","8190.00","8190.00","","YES","01/05/18","31/05/18","NO"
"31/05/2018","31/05/18","DEWA","DEWA Account No: 2026667420","May-18","13810.53","13810.53","","YES","01/05/18","31/05/18","NO"
"31/05/2018","15/07/18","Blue Diamond FM Services LLC","MAY-18 -MEP AND MINOR CIVIL MAINTENANCE","BDFM-2031/05","1163.75","1163.75","","YES","01/05/18","31/05/18","NO"
"31/05/2018","31/05/18","Stalwart Solutions LLC","Pest Control - 5th Service","SS/9248","332.50","332.50","","NO","31/05/18","31/05/18","NO"
"31/05/2018","31/05/18","Mashreq gold","Inv: May 2018 bank Charge","May 2018 bank Charge","152.25","152.25","","NO","31/05/18","31/05/18","NO"
"21/06/2018","21/06/18","Crowe Horwath","Jun 2018 - Independent Signatory Service","IHO001132","1197.00","1197.00","","YES","01/06/18","30/06/18","NO"
"24/06/2018","24/06/18","Mashreq gold","Inv: Jun 2018 Bank Charge","Jun 2018 Bank Charge","210.00","210.00","","NO","24/06/18","24/06/18","NO"
"29/06/2018","29/06/18","KONE MIDDLE EAST LLC","Lift Maintenance 1/4/18-30/6/18","25576130","3255.00","3255.00","","YES","01/04/18","30/06/18","NO"
"30/06/2018","30/07/18","Kaizen Owner Association Management Services","JUN 2018 - OA Management Service","593","5354.17","5354.17","","YES","01/06/18","30/06/18","NO"
"30/06/2018","30/06/18","DEWA","DEWA Account No: 2026667420","Jun-18","12616.43","12616.43","","YES","01/06/18","30/06/18","NO"
"30/06/2018","30/06/18","Al Tawafuq","JUN 2018 - Cleaning Service","431","2835.00","2835.00","","YES","01/06/18","30/06/18","NO"
"30/06/2018","30/06/18","911 Security Services LLC","JUN 2018 - Security Service","3955","8190.00","8190.00","","YES","01/06/18","30/06/18","NO"
"30/06/2018","14/08/18","Blue Diamond FM Services LLC","JUNE-18 -MEP AND MINOR CIVIL MAINTENANCE","BDFM-2129/06","1163.75","1163.75","","YES","01/06/18","30/06/18","NO"
"08/07/2018","08/07/18","Crowe Horwath","Jul 2018 - Independent Signatory Service","IHO001234","1197.00","1197.00","","YES","01/07/18","31/07/18","NO"
"31/07/2018","30/08/18","Kaizen Owner Association Management Services","JUL 2018 - OA Management Service","632","5354.17","5354.17","","YES","01/07/18","31/07/18","NO"
"31/07/2018","31/07/18","DEWA","DEWA Account No: 2026667420","Jul-18","14407.59","14407.59","","YES","01/07/18","31/07/18","NO"
"31/07/2018","31/07/18","Al Tawafuq","JULY 2018 - Cleaning Service","442","2835.00","2835.00","","YES","01/07/18","31/07/18","NO"
